genet	cross	days_to_germinate	growth_rate_day	drought_b	survival_time	biomass
C2	A	11	0.061136875	16.34294	27	0.1536
C2	A	14	0.028852615	20.73394	28	0.0855
C2	A	22	0.006817	22.19074	28	0.0387
C2	A	13	0.039904786	16.74136	27	0.0866
C2	A	17	0.0254292	16.74136	27	0.1254
C2	A	14	0.049290846	15.56639	26	0.1087
C2	A	17	0.021694	23.82041	34	0.0776
C2	A	9	0.106915056	NA	NA	0.0563
C2	A	11	0.065221813	16.74136	27	0.1549
C2	A	20	0.019741286	22.4262	28	0.0511
C2	A	12	0.046248067	17.79222	28	0.1095
C2	A	20	0.013243714	21.97063	34	0.0599
C2	A	20	0.025562714	19.82814	34	0.0599
C2	A	14	0.034783462	16.34294	27	0.0727
C2	A	20	0.016151	20.11827	34	0.058
C2	A	13	0.032218	16.74136	27	0.0926
C2	A	12	0.066244	13.9709	26	0.15
C2	A	17	0.0120494	17.82653	27	0.0909
C2	A	24	0.012766667	27.76166	35	0.0328
C2	A	14	0.022219846	21.97063	34	0.0493
C2	A	9	0.127872056	12.22526	26	0.1801
C2	A	20	0.022636	16.74136	27	0.0909
C2	A	13	0.039855786	20.87044	34	0.0872
C2	A	12	0.056969067	15.56639	26	0.1339
C2	A	13	0.041520071	16.01185	27	0.1025
C2	A	13	0.029922143	18.81694	28	0.0766
C2	A	12	0.046913067	17.3698	27	0.065
C2	A	13	0.033044071	20.73658	28	0.0974
C2	A	13	0.054003714	13.9709	26	0.1515
C2	A	13	0.032420857	16.5282	26	0.0805
C2	A	14	0.037140769	16.74136	27	0.0832
C2	A	20	0.018526714	19.68729	28	0.0622
C2	A	24	0.012521	26.30166	35	0.0312
C2	A	14	0.037400846	23.39715	35	0.0655
C2	A	9	0.115042889	13.46523	26	0.1563
C2	A	12	0.056094467	16.46153	28	0.1332
C2	A	14	0.033926538	13.46523	26	0.1343
C2	A	20	0.016640857	18.95559	27	0.0664
C2	A	21	0.015303	23.58379	35	0.0442
C2	A	11	0.0569305	20.48584	35	0.0902
C2	A	11	0.063702875	16.92041	26	0.083
C2	A	12	0.048380533	13.54928	27	0.122
C2	A	17	0.0221301	18.53159	28	0.0843
C2	A	9	0.083941722	18.1883	27	0.1322
C2	A	21	0.009734167	24.18135	35	0.0503
C2	A	12	0.060033333	15.84588	26	0.1122
C2	A	21	0.014661667	18.35016	27	0.0577
C2	A	23	0.01197075	25.48077	34	0.0569
C2	G	20	0.024219286	18.88941	28	0.0568
C2	G	12	0.051029	17.88923	34	0.1157
C2	G	22	0.0092296	24.06396	35	0.0394
C2	G	12	0.059775733	16.5282	26	0.1198
C2	G	20	0.029667	17.62532	28	0.0882
C2	G	21	0.0108435	26.89032	35	0.0324
C2	G	12	0.053261867	16.5282	26	0.0877
C2	G	13	0.055362429	14.00042	22	0.1198
C2	G	12	0.0822734	12.4887	22	0.1689
C2	G	14	0.033032308	13.54928	27	0.1363
C2	G	20	0.021733	20.78465	28	0.0614
C2	G	16	0.029807727	16.74136	27	0.0721
C2	G	20	0.019069571	16.74136	27	0.0613
C2	G	13	0.048712214	14.81738	26	0.1011
C2	G	13	0.062125857	12.32724	22	0.1234
C2	G	14	0.064032385	13.9709	26	0.1113
C2	G	15	0.032733917	16.54606	26	0.0715
C2	G	12	0.056880533	16.74136	27	0.1011
C2	G	16	0.027741909	16.34294	27	0.0765
C2	G	22	0.0085802	25.5182	35	0.0503
C2	G	17	0.0229258	18.88941	28	0.0795
C2	G	15	0.0315855	18.05296	28	0.081
C2	G	13	0.052627214	13.54928	27	0.1203
C2	G	20	0.010492	21.11885	28	0.0493
C2	G	14	0.035551769	16.92041	26	0.103
C2	G	11	0.070006813	16.92041	26	0.0879
C2	G	11	0.086124813	14.51066	27	0.1673
C2	G	12	0.064081467	13.9709	26	0.1273
C2	G	22	0.015568	21.37658	34	0.0422
C2	G	14	0.0609905	16.34294	27	0.1211
C2	G	15	0.0279045	18.08773	28	0.1052
C2	G	20	0.017332286	20.73394	28	0.0814
C2	G	14	0.031667462	17.3698	27	0.0513
C2	G	20	0.022164286	18.05296	28	0.0569
C2	G	23	0.012145	20.81985	34	0.0512
C2	G	11	0.052282563	13.9709	26	0.1486
C2	G	20	0.013201	20.11827	34	0.0647
C2	G	14	0.038957692	16.74136	27	0.1016
C2	G	15	0.033476917	16.74136	27	0.089
C2	G	20	0.022310143	20.73658	28	0.0777
C2	G	12	0.053057533	13.54928	27	0.1122
C2	G	11	0.079709563	20.7885	28	0.1019
C2	G	20	0.012499571	20.48584	35	0.0497
C2	G	9	0.096642889	13.09231	22	0.1216
C2	G	24	0.011253	20.81985	34	0.0365
C2	G	21	0.011589167	19.53697	27	0.0525
C2	G	15	0.042638667	13.9709	26	0.1145
C2	G	12	0.050095667	13.9709	26	0.1222
